cost => 3.84 | heu => 11.818315362857142 | fringe_size => 54 | closed => 3 | action => ['L2', 'M2', "D'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.818315362857142 | fringe_size => 55 | closed => 3 | action => ['L2', 'M2', 'D2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.818315362857142 | fringe_size => 56 | closed => 3 | action => ['L2', 'M2', 'E'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.818315362857142 | fringe_size => 57 | closed => 3 | action => ['L2', 'M2', "E'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.818315362857142 | fringe_size => 58 | closed => 3 | action => ['L2', 'M2', 'E2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.818315362857142 | fringe_size => 59 | closed => 3 | action => ['L2', 'M2', 'U'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.818315362857142 | fringe_size => 60 | closed => 3 | action => ['L2', 'M2', "U'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.818315362857142 | fringe_size => 61 | closed => 3 | action => ['L2', 'M2', 'U2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.818315362857142 | fringe_size => 62 | closed => 3 | action => ['L2', 'M2', 'L'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.818315362857142 | fringe_size => 63 | closed => 3 | action => ['L2', 'M2', "L'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.818315362857142 | fringe_size => 64 | closed => 3 | action => ['L2', 'M2', 'L2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.818315362857142 | fringe_size => 65 | closed => 3 | action => ['L2', 'M2', 'R'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.818315362857142 | fringe_size => 66 | closed => 3 | action => ['L2', 'M2', "R'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.818315362857142 | fringe_size => 67 | closed => 3 | action => ['L2', 'M2', 'R2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.818315362857142 | fringe_size => 68 | closed => 3 | action => ['L2', 'M2', 'M'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.818315362857142 | fringe_size => 69 | closed => 3 | action => ['L2', 'M2', "M'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.818315362857142 | fringe_size => 70 | closed => 3 | action => ['L2', 'M2', 'M2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571427 | fringe_size => 71 | closed => 3 | action => ['L2', 'M2', 'B'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571427 | fringe_size => 72 | closed => 3 | action => ['L2', 'M2', "B'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571427 | fringe_size => 73 | closed => 3 | action => ['L2', 'M2', 'B2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571427 | fringe_size => 74 | closed => 3 | action => ['L2', 'M2', 'F'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571427 | fringe_size => 75 | closed => 3 | action => ['L2', 'M2', "F'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571427 | fringe_size => 76 | closed => 3 | action => ['L2', 'M2', 'F2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 4.297569222857143 | fringe_size => 77 | closed => 3 | action => ['L2', 'M2', 'S'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 2.1487846114285714 | fringe_size => 78 | closed => 3 | action => ['L2', 'M2', "S'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 6.446353834285714 | fringe_size => 79 | closed => 3 | action => ['L2', 'M2', 'S2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 7.829096731739999 | fringe_size => 79 | closed => 4 | action => ['L2', 'M2', "S'", 'D'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 7.829096731739999 | fringe_size => 80 | closed => 4 | action => ['L2', 'M2', "S'", "D'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 6.710654341491427 | fringe_size => 81 | closed => 4 | action => ['L2', 'M2', "S'", 'D2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 82 | closed => 4 | action => ['L2', 'M2', "S'", 'E'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 83 | closed => 4 | action => ['L2', 'M2', "S'", "E'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 84 | closed => 4 | action => ['L2', 'M2', "S'", 'E2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 85 | closed => 4 | action => ['L2', 'M2', "S'", 'U'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 86 | closed => 4 | action => ['L2', 'M2', "S'", "U'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 87 | closed => 4 | action => ['L2', 'M2', "S'", 'U2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.388317926864284 | fringe_size => 88 | closed => 4 | action => ['L2', 'M2', "S'", 'L'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.388317926864284 | fringe_size => 89 | closed => 4 | action => ['L2', 'M2', "S'", "L'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 7.829096731739999 | fringe_size => 90 | closed => 4 | action => ['L2', 'M2', "S'", 'L2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.388317926864284 | fringe_size => 91 | closed => 4 | action => ['L2', 'M2', "S'", 'R'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.388317926864284 | fringe_size => 92 | closed => 4 | action => ['L2', 'M2', "S'", "R'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 7.829096731739999 | fringe_size => 93 | closed => 4 | action => ['L2', 'M2', "S'", 'R2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 94 | closed => 4 | action => ['L2', 'M2', "S'", 'M'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 95 | closed => 4 | action => ['L2', 'M2', "S'", "M'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 96 | closed => 4 | action => ['L2', 'M2', "S'", 'M2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 97 | closed => 4 | action => ['L2', 'M2', "S'", 'B'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 98 | closed => 4 | action => ['L2', 'M2', "S'", "B'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 99 | closed => 4 | action => ['L2', 'M2', "S'", 'B2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 100 | closed => 4 | action => ['L2', 'M2', "S'", 'F'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 101 | closed => 4 | action => ['L2', 'M2', "S'", "F'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 102 | closed => 4 | action => ['L2', 'M2', "S'", 'F2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 6.710654341491427 | fringe_size => 103 | closed => 4 | action => ['L2', 'M2', "S'", 'S'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 6.710654341491427 | fringe_size => 104 | closed => 4 | action => ['L2', 'M2', "S'", "S'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 4.473769560994285 | fringe_size => 105 | closed => 4 | action => ['L2', 'M2', "S'", 'S2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.06598151223714 | fringe_size => 105 | closed => 5 | action => ['L2', 'M2', 'S', 'D'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.06598151223714 | fringe_size => 106 | closed => 5 | action => ['L2', 'M2', 'S', "D'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 107 | closed => 5 | action => ['L2', 'M2', 'S', 'D2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.06598151223714 | fringe_size => 108 | closed => 5 | action => ['L2', 'M2', 'S', 'E'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.06598151223714 | fringe_size => 109 | closed => 5 | action => ['L2', 'M2', 'S', "E'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 8.94753912198857 | fringe_size => 110 | closed => 5 | action => ['L2', 'M2', 'S', 'E2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 11.184423902485712 | fringe_size => 111 | closed => 5 | action => ['L2', 'M2', 'S', 'U'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 11.184423902485712 | fringe_size => 112 | closed => 5 | action => ['L2', 'M2', 'S', "U'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 11.184423902485712 | fringe_size => 113 | closed => 5 | action => ['L2', 'M2', 'S', 'U2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.625202707361426 | fringe_size => 114 | closed => 5 | action => ['L2', 'M2', 'S', 'L'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.625202707361426 | fringe_size => 115 | closed => 5 | action => ['L2', 'M2', 'S', "L'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.06598151223714 | fringe_size => 116 | closed => 5 | action => ['L2', 'M2', 'S', 'L2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.625202707361426 | fringe_size => 117 | closed => 5 | action => ['L2', 'M2', 'S', 'R'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.625202707361426 | fringe_size => 118 | closed => 5 | action => ['L2', 'M2', 'S', "R'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
