cost => 2.56 | heu => 12.384925714285714 | fringe_size => 51 | closed => 2 | action => ['S2', 'S'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 12.384925714285714 | fringe_size => 52 | closed => 2 | action => ['S2', "S'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 11.765679428571428 | fringe_size => 53 | closed => 2 | action => ['S2', 'S2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 9.024895367999997 | fringe_size => 53 | closed => 3 | action => ['S2', "U'", 'D'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 9.347213059714283 | fringe_size => 54 | closed => 3 | action => ['S2', "U'", "D'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 8.702577676285712 | fringe_size => 55 | closed => 3 | action => ['S2', "U'", 'D2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 10.95880151828571 | fringe_size => 56 | closed => 3 | action => ['S2', "U'", 'E'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 10.95880151828571 | fringe_size => 57 | closed => 3 | action => ['S2', "U'", "E'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 9.024895367999997 | fringe_size => 58 | closed => 3 | action => ['S2', "U'", 'E2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 10.314166134857139 | fringe_size => 59 | closed => 3 | action => ['S2', "U'", 'U'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 10.636483826571427 | fringe_size => 60 | closed => 3 | action => ['S2', "U'", "U'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.281119209999996 | fringe_size => 61 | closed => 3 | action => ['S2', "U'", 'U2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 10.95880151828571 | fringe_size => 62 | closed => 3 | action => ['S2', "U'", 'L'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 10.95880151828571 | fringe_size => 63 | closed => 3 | action => ['S2', "U'", "L'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 9.347213059714283 | fringe_size => 64 | closed => 3 | action => ['S2', "U'", 'L2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 10.95880151828571 | fringe_size => 65 | closed => 3 | action => ['S2', "U'", 'R'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 10.95880151828571 | fringe_size => 66 | closed => 3 | action => ['S2', "U'", "R'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 9.991848443142855 | fringe_size => 67 | closed => 3 | action => ['S2', "U'", 'R2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.281119209999996 | fringe_size => 68 | closed => 3 | action => ['S2', "U'", 'M'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.281119209999996 | fringe_size => 69 | closed => 3 | action => ['S2', "U'", "M'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 9.991848443142855 | fringe_size => 70 | closed => 3 | action => ['S2', "U'", 'M2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 9.347213059714283 | fringe_size => 71 | closed => 3 | action => ['S2', "U'", 'B'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
