cost => 3.84 | heu => 6.446353834285713 | fringe_size => 68 | closed => 3 | action => ["L'", 'B2', 'M'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 9.669530751428569 | fringe_size => 69 | closed => 3 | action => ["L'", 'B2', "M'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 9.669530751428569 | fringe_size => 70 | closed => 3 | action => ["L'", 'B2', 'M2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 71 | closed => 3 | action => ["L'", 'B2', 'B'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 72 | closed => 3 | action => ["L'", 'B2', "B'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 73 | closed => 3 | action => ["L'", 'B2', 'B2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 8.863736522142855 | fringe_size => 74 | closed => 3 | action => ["L'", 'B2', 'F'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 4.8347653757142846 | fringe_size => 75 | closed => 3 | action => ["L'", 'B2', "F'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 8.863736522142855 | fringe_size => 76 | closed => 3 | action => ["L'", 'B2', 'F2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 77 | closed => 3 | action => ["L'", 'B2', 'S'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
